epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.1809,0.92576,1.14942,1.09533,0.92109,0.77936,0.92729,0.55991,1.34705,1.49471,1.16733,6e-05,6e-05,6e-05
2,48.901,0.8807,1.00239,1.04443,0.81927,0.93333,0.93699,0.51336,1.46898,1.50735,1.24239,0.000139307,0.000139307,0.000139307
3,68.7737,0.95034,1.15187,1.12031,0.8455,0.86667,0.86994,0.47045,1.44078,1.89316,1.22272,0.000217822,0.000217822,0.000217822
4,88.0599,0.9099,1.24482,1.0425,0.88118,0.66667,0.78424,0.45579,1.43065,1.70556,1.27706,0.000295545,0.000295545,0.000295545
5,106.935,0.86659,1.10432,1.08514,0.89105,0.66667,0.81898,0.5179,1.35811,1.47722,1.24735,0.000372476,0.000372476,0.000372476
6,127.349,0.8856,0.92688,0.99939,0.8447,0.72576,0.84705,0.50613,1.3893,1.47312,1.24223,0.000448615,0.000448615,0.000448615
7,147.953,0.95614,1.01858,1.10468,0.74691,0.93333,0.91808,0.50862,1.4418,1.46922,1.26819,0.000523962,0.000523962,0.000523962
8,167.58,0.96073,1.02904,1.05882,1,0.85359,0.96911,0.53892,1.41765,1.44208,1.2612,0.000598517,0.000598517,0.000598517
9,186.942,1.09377,1.0999,1.09792,0.92285,0.79768,0.93435,0.56581,1.31198,1.38601,1.21491,0.00067228,0.00067228,0.00067228
10,207.266,0.93284,0.97164,1.12037,1,0.92091,0.98794,0.52853,1.42044,1.46766,1.25489,0.000745251,0.000745251,0.000745251
11,228.072,0.98405,1.00263,1.06676,0.99285,0.86667,0.97625,0.52313,1.55796,1.45479,1.29278,0.00081743,0.00081743,0.00081743
12,247.257,1.10716,1.07245,1.23876,0.99125,0.66667,0.80147,0.54025,1.41828,1.42999,1.26355,0.000888817,0.000888817,0.000888817
13,267.614,1.15626,1.11127,1.12984,0.91079,0.73333,0.81836,0.52054,1.38239,1.52828,1.29234,0.000959412,0.000959412,0.000959412
14,287.26,1.00488,0.98016,1.07233,0.71543,0.86667,0.80185,0.48012,1.49183,1.61081,1.31719,0.00102922,0.00102922,0.00102922
15,306.621,0.98007,1.06093,1.07251,0.83855,0.6938,0.82557,0.37652,1.59116,1.77868,1.38334,0.00109823,0.00109823,0.00109823
16,326.333,1.04019,1.02815,1.12826,0.7254,0.73333,0.74748,0.41337,1.55811,1.91556,1.38284,0.00116645,0.00116645,0.00116645
17,344.964,1.07695,1.18365,1.10819,0.77829,0.6,0.70182,0.37816,1.59138,2.01022,1.40873,0.00123387,0.00123387,0.00123387
18,365.648,1.11015,1.04226,1.20713,0.64402,0.72416,0.69174,0.36109,1.64856,1.80499,1.41897,0.00130051,0.00130051,0.00130051
19,384.934,0.99646,1.07532,1.07812,0.61618,0.86667,0.75267,0.34964,1.67616,1.85,1.42258,0.00136635,0.00136635,0.00136635
20,404.016,0.95425,1.01305,1.08405,0.7913,0.73333,0.77037,0.38649,1.62382,1.73298,1.35285,0.0014314,0.0014314,0.0014314
21,422.805,1.04074,1.07462,1.09851,0.80518,0.53333,0.67048,0.39172,1.5035,2.30118,1.28408,0.00149566,0.00149566,0.00149566
22,441.92,1.09655,1.20675,1.20524,0.78418,0.46667,0.60414,0.35703,1.42205,2.45781,1.26777,0.00155913,0.00155913,0.00155913
23,460.749,1.06897,1.11225,1.15731,0.71343,0.4,0.44358,0.26812,1.3953,2.47094,1.27046,0.0016218,0.0016218,0.0016218
24,479.385,1.01586,1.06539,1.10578,0.54392,0.39774,0.39057,0.2361,1.56299,2.66354,1.339,0.00168368,0.00168368,0.00168368
25,499.21,0.99872,1.10098,1.1033,0.92612,0.2,0.23958,0.14366,1.67334,3.57342,1.48482,0.00174478,0.00174478,0.00174478
26,518.767,1.09696,1.23983,1.16912,0.60355,0.4,0.3946,0.22235,1.66591,2.72408,1.49786,0.0017525,0.0017525,0.0017525
27,537.537,1.12775,1.2024,1.18584,0.67069,0.46667,0.52809,0.28794,1.3668,2.42844,1.34653,0.0017426,0.0017426,0.0017426
28,556.749,1.17373,1.26197,1.23835,0.6824,0.43146,0.49596,0.2914,1.33276,2.39941,1.29492,0.0017327,0.0017327,0.0017327
29,576.275,1.04542,1.08429,1.10462,0.46227,0.46667,0.40428,0.23579,1.41317,2.41181,1.32621,0.0017228,0.0017228,0.0017228
30,595.058,0.97842,1.12034,1.0745,0.45545,0.46667,0.44501,0.23276,1.47035,2.2186,1.29248,0.0017129,0.0017129,0.0017129
31,613.909,0.96907,1.03506,1.07167,0.60774,0.66667,0.6507,0.33336,1.56174,2.07993,1.34958,0.001703,0.001703,0.001703
32,632.402,0.99265,0.97672,1.0841,0.55701,0.75514,0.63575,0.33086,1.55679,2.03986,1.35268,0.0016931,0.0016931,0.0016931
33,652.452,0.97362,1.12095,1.07977,0.71963,0.6,0.63372,0.3628,1.53361,2.02626,1.34766,0.0016832,0.0016832,0.0016832
34,672.024,1.0142,1.05766,1.09193,0.80848,0.6,0.61216,0.34684,1.51167,2.38274,1.34074,0.0016733,0.0016733,0.0016733
35,690.913,1.16617,1.05136,1.21724,0.60736,0.53333,0.58777,0.30324,1.5457,2.62076,1.34173,0.0016634,0.0016634,0.0016634
36,709.483,0.87826,0.89064,1.08502,0.62952,0.4,0.54417,0.33861,1.55604,2.78015,1.36227,0.0016535,0.0016535,0.0016535
37,728.58,0.93423,0.95134,1.09931,0.39852,0.8,0.58374,0.36309,1.5267,2.33706,1.36399,0.0016436,0.0016436,0.0016436
38,748.02,0.95041,1.00586,1.10193,0.45464,0.8,0.65134,0.39111,1.49226,1.97761,1.34065,0.0016337,0.0016337,0.0016337
39,766.735,0.85923,0.88792,1.0343,0.90868,0.66364,0.81601,0.46094,1.62617,1.51814,1.36658,0.0016238,0.0016238,0.0016238
